Volume,Pressure
60.808053251855085, 5.229885057471264
59.490942819729376, 6.4942528735632195
59.50458315146224, 7.931034482758623
59.70482322130074, 9.022988505747126
60.28371890004365, 10.000000000000004
60.86316019205587, 11.034482758620692
61.252728066346585, 12.068965517241384
62.21191619380184, 13.10344827586207
62.980685290266265, 14.080459770114949
63.93823657791358, 14.942528735632187
64.89742470536885, 15.977011494252878
65.66455696202533, 16.781609195402297
66.62319947621127, 17.758620689655174
67.38978611959844, 18.50574712643678
68.34679179397645, 19.31034482758621
69.49312527280664, 20.057471264367816
70.64000436490616, 20.862068965517246
71.59810127, 21.781609195402304
72.74498035792232, 22.586206896551722
74.08118725447405, 23.333333333333336
75.41903099083373, 24.252873563218394
76.56481886, 24.942528735632187
78.09035355739853, 25.632183908045977
79.61425141859452, 26.14942528735632
81.13760366652119, 26.609195402298848
83.22948494107376, 26.954022988505745
85.51069402007857, 27.24137931034483
88.54975993016151, 27.356321839080458
90.63782191182892, 27.298850574712638
92.72479266695768, 27.126436781609197
95.00054561326934, 26.839080459770113
97.08587952859013, 26.49425287356322
98.60050196420778, 26.034482758620687
100.30390659100831, 25.459770114942522
101.62756438236578, 24.885057471264368
103.90004364906156, 24.252873563218387
105.79168485377565, 23.505747126436784
108.25076385857705, 22.528735632183906
110.52106067219557, 21.666666666666668
112.22446529899607, 21.091954022988507
114.30707114797033, 20.459770114942536
116.0082933216936, 19.655172413793103
117.71115233522481, 19.02298850574713
119.41182889567875, 18.160919540229884
122.05805325185509, 16.896551724137936
124.70591444783939, 15.804597701149424
126.97457442164995, 14.770114942528739
128.67579659537319, 13.965517241379315
129.99836316019207, 13.275862068965523
131.50807507638586, 12.298850574712645
132.82845918812745, 11.379310344827593
133.95951549541684, 10.517241379310345
134.52040593627237, 9.597701149425287
134.50840244434744, 8.333333333333337
132.22282845918815, 7.586206896551725
130.3191837625491, 7.068965517241383
127.65768223483195, 6.724137931034487
124.42601484068092, 6.321839080459775
121.0050196420777, 5.9770114942528725
117.01494980357923, 5.689655172413793
113.4046268005238, 5.402298850574719
109.60497599301615, 5.172413793103453
105.99628982976867, 5.057471264367819
102.38705805325186, 4.885057471264355
99.15784591881274, 4.7413793103448265
95.35901353120907, 4.5977011494252915
91.18179834133565,4.597701149
87.19281972937583, 4.425287356321832
83.20438673, 4.310344827586215
79.02717154081188, 4.310344827586205
74.65953731994762, 4.252873563218397
70.10257529463118, 4.252873563218391
66.87581841990398, 4.367816091954024
63.83893496, 4.4827586206896575
62.13280227, 4.770114942528739
60.808053251855085, 5.229885057471264